genre,Avg_Score_User,Avg_Score_Crit,Avg_count_User,Avg_count_Crit
Sports,3.270102214650768,36.59710391822828,19.526831345826235,10.69420783645656
Platform,3.519144144144144,38.09121621621622,52.597972972972975,13.263513513513514
Racing,3.6110488390712603,40.375500400320256,35.60288230584467,13.68054443554844
Role-Playing,3.7742000000000018,35.696666666666665,158.87666666666667,15.963333333333333
Puzzle,1.5834482758620685,26.03965517241379,7.172413793103448,7.843103448275862
Misc,1.7106857142857144,19.909714285714287,7.805142857142857,6.435428571428571
Shooter,4.918140589569166,50.07634164777022,261.609977324263,25.40891912320484
Simulation,2.80812356979405,27.63615560640732,32.53318077803203,8.637299771167047
Action,3.830534124629077,37.36765578635015,102.57210682492581,15.580415430267061
Fighting,3.4319199057714997,33.34511189634865,30.51472320376914,13.445229681978798
Adventure,1.6422870299309293,16.19493476592479,23.808902532617036,5.4819646968534155
Strategy,3.3218155197657384,31.874084919472914,89.34846266471449,12.500732064421669
,0,0,0,0
